Name,Entity
pentobarbital sodium,DRUG
methylprednisolone sodium succ,DRUG
bactr,DRUG
neo*po*omeprazole,DRUG
calcium ,DRUG
triamterene,DRUG
mege,DRUG
sulfame,DRUG
uniphyl,DRUG
medrol (pak),DRUG
gentamicin sulf. ophth. soln,DRUG
imodium,DRUG
ezetimibe,DRUG
hki-272,DRUG
botox,DRUG
fluticasone propionate nasal,DRUG
methylprednisolone,DRUG
short chain fatty acid enema,DRUG
char,DRUG
l-carnitine,DRUG
folic acid/vitamin b comp/c,DRUG
heparin flush hickman (100 units/ml),DRUG
sodium fluoride 1.1% (dental gel),DRUG
terconazole 80mg vag. supp,DRUG
methylergonovine maleate,DRUG
anastrozole,DRUG
somatropin,DRUG
neo*po*poly-vi-solution,DRUG
bupivacaine 0.50%-epinephrine,DRUG
potassium chl 20 meq / 1000 ml d5ns,DRUG
0.9% sodium chloride,DRUG
neomycin/polymyxin/dexameth ophth susp.,DRUG
bacitracin ,DRUG
all purpose nipple ointment,DRUG
methadone,DRUG
ropivacaine 0.2%,DRUG
vytorin 10-20,DRUG
sodium bicarbonate 4% (2.4meq),DRUG
etomidate,DRUG
sulfadiazine,DRUG
heparin flush midline (100 units/ml),DRUG
iodine strong (lugols),DRUG
betaxolol hcl,DRUG
mesalamine enema,DRUG
iressa,DRUG
sodium ch,DRUG
zithromax z-pak,DRUG
dulera (mometasone-formoterol),DRUG
viokase,DRUG
tretinoin ,DRUG
isosorbide mononitrate,DRUG
hepatitis b immune globulin (bayhep b),DRUG
dexa,DRUG
multivitamin 12,DRUG
vancomycin hcl,DRUG
streptomycin sulfate,DRUG
nystatin cream,DRUG
ethacrynate sodium,DRUG
uroxatral,DRUG
exenatide,DRUG
nitroglycerin sr,DRUG
gatifloxacin,DRUG
norflex,DRUG
neo*po*midazolam,DRUG
*nf* paroxetine cr,DRUG
*nf* metipranolol 0.3% ophth soln,DRUG
lansoprazole oral suspension,DRUG
*nf* memantine,DRUG
itraconazole solution,DRUG
viread,DRUG
dexame,DRUG
rhinocort,DRUG
acyclovir 400mg or placebo (*ind*),DRUG
*nf* exemestane,DRUG
dextrose 2.5% in water (d2.5w),DRUG
propra,DRUG
neo*iv*fentanyl,DRUG
dilantin (phenytoin sodium er),DRUG
neo*po*ursodiol,DRUG
levemir,DRUG
anusol-hc,DRUG
pilocarpine 0.5%,DRUG
raltegravir 400mg tablet,DRUG
alum ammonium,DRUG
duloxetine,DRUG
pyridostigmine bromide sr,DRUG
valganciclov,DRUG
heparin ,DRUG
tobramycin 0.3% ophth ointment,DRUG
tenecteplase,DRUG
valganciclovir hcl suspension,DRUG
belladonna & opium (16.2/30mg),DRUG
homat,DRUG
hydroxyurea suspension,DRUG
*nf* solifenacin,DRUG
prismasate (b22 k4),DRUG
morphine concentrate,DRUG
glatiramer acetate,DRUG
tacrolimus ,DRUG
seroquel xr,DRUG
ayr saline gel,DRUG
*nf* fosfomycin tromethamine,DRUG
celecoxib,DRUG
sprycel,DRUG
lidocaine 1% ,DRUG
fulvestrant,DRUG
clopidogrel 150 mg or placebo,DRUG
hydromorphone (rectal),DRUG
thiamine study drug (*ind*),DRUG
betamethasone valerate 0.1% ointment,DRUG
candesartan cilexetil,DRUG
labetalol hcl,DRUG
moxifloxacin,DRUG
olanzapine (disintegrating tablet),DRUG
gengraf (cyclosporine modified),DRUG
*nf* pramipexole,DRUG
ns (intrathecal bag),DRUG
omnipred,DRUG
risendronate sodium (actonel),DRUG
ibuprofen,DRUG
syringe (neonatal) *d10w*,DRUG
*nf* interferon beta-1a,DRUG
0.45% sodium chloride,DRUG
viokase-8,DRUG
neo*po*chloral hydrate,DRUG
prilosec otc,DRUG
sulfamethoxazole/trimethoprim,DRUG
diltia,DRUG
*nf* tacrolimus 0.03% ointment,DRUG
"meningococcal vac a,c,y,w-135",DRUG
alteplase (catheter clearance),DRUG
fluphenazine,DRUG
fentanyl patch *nf*,DRUG
darbepoetin alfa in polysorbate,DRUG
chlorpheniramine-hydrocodone,DRUG
heparin lock,DRUG
gent,DRUG
hydromorphone (dilaudid),DRUG
cortisporin,DRUG
sodium chloride 0.9%  flush,DRUG
lactulose enema,DRUG
phenytoin sodium extended,DRUG
carbidopa-levodopa (10-100),DRUG
cephalexin suspension,DRUG
glucose tab,DRUG
*nf* cefotetan,DRUG
vancomycin oral liquid,DRUG
tyvaso 1.74mg/2.9 ml,DRUG
lipram-pn20,DRUG
codeine-guaifenesin,DRUG
*nf* cetirizine,DRUG
ketamine ,DRUG
*nf* etravirine,DRUG
povidone iodine 1/4 strength,DRUG
agrylin,DRUG
tisseel/ fs vh sd,DRUG
naloxone oral soln,DRUG
papain-urea spray,DRUG
folic,DRUG
clindamycin suspension,DRUG
nitrofurantoin monohyd (macrobid),DRUG
clobetasol propionate 0.05% gel,DRUG
acetylcysteine ,DRUG
potassium chloride (powder),DRUG
prevacid,DRUG
chlorzoxazone,DRUG
leflunomide,DRUG
sulfameth/t,DRUG
prozac brand name,DRUG
*nf* genteal lubricant eye drops,DRUG
etoposide,DRUG
bismuth subsalicylate,DRUG
tacrolimus study med (*ind*),DRUG
glucophage xr,DRUG
fluticasone-salmeterol diskus (500/50) ,DRUG
ribavirin aerosol,DRUG
*nf* travoprost 0.004 % ophth soln,DRUG
bactroban,DRUG
oxcarbazepine oral suspension,DRUG
dicloxacillin sodium,DRUG
readi-cat 2 (barium sulfate 2% suspension),DRUG
bortezomib,DRUG
fibercon,DRUG
fluoxetine hcl,DRUG
nasonex,DRUG
nascobal,DRUG
mesalamine dr,DRUG
reminyl,DRUG
telavancin *nf*,DRUG
*nf* ondansetron odt,DRUG
enablex,DRUG
tria,DRUG
moexipril hcl,DRUG
dexmedetomidine,DRUG
entecavir oral solution,DRUG
thyroid extract sr,DRUG
neo*desitin creamy,DRUG
valproic,DRUG
nicotine polacrilex,DRUG
insulin pump,DRUG
ethosuximide,DRUG
tuck,DRUG
*nf* isometheptene/dichloralphenazone-apap,DRUG
avodart *nf*,DRUG
fosamprenavir,DRUG
orabase-b,DRUG
ferric gluconate,DRUG
penicillin g potassium,DRUG
theophylline ,DRUG
fluorouracil,DRUG
metformin (fortamet),DRUG
docus,DRUG
vemurafenib (ro5185426),DRUG
tropicamide 0.5% ophth soln,DRUG
risperdal,DRUG
*nf* aripiprazole,DRUG
neo*po*metoclopramide,DRUG
nitroglycerin,DRUG
aluminum-magnesium hydrox.-simethicone,DRUG
tocopheryl,DRUG
trisodium citrate 4% replacement soln,DRUG
meperidine hcl,DRUG
dexamethasone oral syringe,DRUG
nitroprusside sodium,DRUG
*nf* budesonide neb solution,DRUG
bengay,DRUG
sargramostim,DRUG
famo,DRUG
d7.5w,DRUG
bupropio,DRUG
lansoprazole oral solution,DRUG
tmc114 600mg po bid,DRUG
levo,DRUG
albuterol neb soln,DRUG
ifosfamide,DRUG
diphenhydramine hcl,DRUG
chlorothiazide,DRUG
temodar,DRUG
rosuvastatin,DRUG
sensipar,DRUG
viokase 16,DRUG
neomycin-polymyxin-bacitracin ophth. oint,DRUG
letairis 5mg,DRUG
entecavir,DRUG
pangestyme ec,DRUG
*nf* phenytoin sodium  **brand name**,DRUG
phytonadione oral solution,DRUG
*nf* tacrolimus suspension,DRUG
atovaquone suspension,DRUG
mucine,DRUG
phenylephrine,DRUG
eplerenone (inspra),DRUG
piperacillin,DRUG
flovent hfa,DRUG
neo*po*vitamin e drops,DRUG
cyclobenzaprine hcl,DRUG
furosemide (elixir),DRUG
hydrocortisone acetate ointment 1%,DRUG
*nf* cinacalcet hcl,DRUG
terlipressin study drug (*ind*),DRUG
benazepril,DRUG
glycerin,DRUG
nelfinavir mesylate,DRUG
glucosamine chondroitin smconc,DRUG
gleevec,DRUG
divalproex,DRUG
novolog,DRUG
neo*iv*parenteral nutrition,DRUG
morphine sulfate (pf),DRUG
prismasate (b32 k2),DRUG
lindane shampoo,DRUG
neo*im*dt  & acellular pertussis,DRUG
vincristine,DRUG
aminocaproic acid ,DRUG
travoprost,DRUG
lysine 500mg tablets,DRUG
parenteral nutrition (tpn),DRUG
tamsulosin,DRUG
levsin,DRUG
xalatan,DRUG
granisetron *nf*,DRUG
insulin glargine,DRUG
morphine sulfate (immediate release),DRUG
l-hyoscyamine,DRUG
ketamine hcl,DRUG
leuprolide acetate,DRUG
abacavir oral solution,DRUG
tuckables pad,DRUG
vytorin 10/20,DRUG
papin,DRUG
fludarabine phosphate,DRUG
peridex,DRUG
cyanocobalamin,DRUG
*nf brinzolamide (azopt),DRUG
zarontin,DRUG
actimmune,DRUG
carbatrol,DRUG
cartia xt,DRUG
solution,DRUG
fty720 1.25mg study med (*ind*),DRUG
bumetanide,DRUG
colestid,DRUG
vimpat,DRUG
nysta,DRUG
oxycodone-acetaminophen (5mg-325mg),DRUG
lipram-pn16,DRUG
*nf* linezolid suspension,DRUG
heparin,DRUG
methadone oral liquid,DRUG
ns (mini bag plus),DRUG
d30w,DRUG
aminocaproic acid 25 % oral rinse,DRUG
*nf* ivermectin,DRUG
chlorpromazine *nf*,DRUG
tegretol xr,DRUG
prograf,DRUG
zebeta,DRUG
phyton,DRUG
cortroysn,DRUG
febuxostat,DRUG
*nf* zileuton,DRUG
vecuronium bromide,DRUG
amoxicillin trihydrate,DRUG
lantus,DRUG
neo*po*folic acid,DRUG
zidovudine,DRUG
aranesp 300 mcg,DRUG
fluticasone-salmeterol diskus (250/50) ,DRUG
prempro,DRUG
ultralente humulin insulin,DRUG
fidaxomicin 200mg tab,DRUG
imitrex,DRUG
sirolimus,DRUG
hydrocodone-acetaminophen (5mg-500mg,DRUG
simvastin or placebo,DRUG
nafcillin desensitization,DRUG
fluoxymesterone,DRUG
atacand hct,DRUG
"albumin, human",DRUG
thrombin topical,DRUG
dexamethasone oral soln (0.1mg/1ml),DRUG
ocean,DRUG
simulect,DRUG
emtricitabine,DRUG
dexametha,DRUG
gemtuzumab ozogamicin,DRUG
mineral oil,DRUG
valproi,DRUG
aspirin 325 mg or placebo,DRUG
hyzaar(losartan/hctz),DRUG
cortisone,DRUG
neo*iv*zidovudine,DRUG
chlordiazepoxide hcl,DRUG
fluticasone-salmeterol (100/50),DRUG
proparacaine hcl 0.5% opth.,DRUG
potas,DRUG
morphine sulfate (1-8mg),DRUG
humulin n,DRUG
avapro,DRUG
flunisolide,DRUG
aspirin ,DRUG
phenyt,DRUG
ursodiol,DRUG
*nf* letrozole,DRUG
amiloride hcl,DRUG
povidone iodine 10%,DRUG
varicella virus vaccine,DRUG
glucagon emergency,DRUG
neo*im*penicillin g benzathine,DRUG
dexilant,DRUG
gamunex/gammaked,DRUG
*nf* fluticasone-salmeterol (500/50) ,DRUG
morphine sulfate ir,DRUG
irbesartan,DRUG
vinblastine (velban),DRUG
neo*nasal*phenylephrine 0.125%,DRUG
carbamazepine chewable tabs,DRUG
didanos,DRUG
fomepizole,DRUG
benazepril hcl,DRUG
nystatin oral,DRUG
ipratropium bromide mdi,DRUG
triamcinolone acetonide 0.1% ointment,DRUG
verapamil,DRUG
vera,DRUG
atazanavir sulfate,DRUG
sorbitol,DRUG
rhinocort aqua,DRUG
*nf* omeprazole,DRUG
clobazam,DRUG
lidocaine jelly 2%,DRUG
desipramine,DRUG
latuda,DRUG
labetalol,DRUG
zidovudine-lamivudine (combivir),DRUG
sildenafil (revatio),DRUG
belladonna alk-phenobarbital,DRUG
n-acetylcysteine study drug,DRUG
mepe,DRUG
sterile water for irrigation,DRUG
unifiber,DRUG
fleet enema,DRUG
valacyclovir hcl,DRUG
peppermint spirit,DRUG
aminocap,DRUG
d5w 0.1% albumin,DRUG
donepezil study drug (*ind*),DRUG
verapamil sr,DRUG
humulin r,DRUG
sevelamer hydrochloride,DRUG
dilan,DRUG
sulfameth/tri,DRUG
humalog kwikpen,DRUG
mesalamine desensitization dose # 3,DRUG
refresh liquigel,DRUG
mannitol,DRUG
pyridostigmine,DRUG
bacitracin-polymyxin ointment,DRUG
sodium citrate-citric acid,DRUG
humalog mix 75-25,DRUG
"preservision( vit a,c,e-zinc-copper)",DRUG
hepatitis b immun globulin (hepagam b),DRUG
mycophenolate mofetil 250mg or placebo capsules,DRUG
albuterol mdi,DRUG
*nf* rofecoxib,DRUG
urocit-k 10,DRUG
dextromethorphan polistirex,DRUG
acetylcysteine (iv),DRUG
neo*iv*hydrocortisone (1mg/ml),DRUG
neo*iv*cefazolin,DRUG
nelarabine (nf),DRUG
letrozole,DRUG
gammagard liquid,DRUG
*nf* tegaserod,DRUG
nystatin powder,DRUG
roxanol,DRUG
midazolam,DRUG
chloral hydrate,DRUG
liniments,DRUG
coal tar 3% shampoo,DRUG
zinc,DRUG
glycerin (laxative),DRUG
hydroxychloroquine sulfate,DRUG
pamidronate,DRUG
celexa,DRUG
paroxetine,DRUG
acetaminophen (rectal),DRUG
albumin 5% (2.5gm),DRUG
tavist,DRUG
norethindrone (contraceptive),DRUG
lugols solution,DRUG
aripiprazole oral soln,DRUG
dtap-hepb-ipv combined,DRUG
bismuth subsalicylate chewable,DRUG
fentanyl ,DRUG
bevacizumab,DRUG
maraviroc,DRUG
amlodipine besylate,DRUG
prednisolone acetate,DRUG
docetaxel,DRUG
atomoxitene,DRUG
bextra,DRUG
unasyn,DRUG
syringe (neonatal) *sw*,DRUG
zelboraf,DRUG
fluconazole suspension,DRUG
flaxseed oil,DRUG
*nf* permethrin 5% cream,DRUG
tolazamide,DRUG
lanoxicaps,DRUG
neo*iv*ampicillin sodium,DRUG
sodium bicarbonate,DRUG
miconazole nitrate vaginal,DRUG
potassium iodide,DRUG
amoxicillin-clavulanate susp.,DRUG
lidocaine 4% mpf,DRUG
epinephrine ,DRUG
triamcinolone acetonide,DRUG
octagam,DRUG
cisatracurium,DRUG
"lidocaine 1%/epi 1::100,000",DRUG
d5 1/2ns,DRUG
metamucil,DRUG
edrophonium chloride,DRUG
metolazone,DRUG
fondaparinux sodium,DRUG
ciprofloxacin,DRUG
alteplase 1mg/1ml ( clearance ie. temp tlcl ),DRUG
olmesartan,DRUG
mycophenolate mofetil study med (*ind*),DRUG
diltiazem,DRUG
cromol,DRUG
arsenic trioxide *nf*,DRUG
theo liquid,DRUG
hyaluronidase,DRUG
coenzyme q10 study drug,DRUG
creon 20,DRUG
cyanide antidote,DRUG
*nf* deferasirox,DRUG
*nf* cetacaine,DRUG
pramipexole dihydrochloride,DRUG
docusat,DRUG
glipizide xl,DRUG
azithromycin,DRUG
true omega -3 fish oil 409mg cap,DRUG
calcitonin salmon nasal,DRUG
lansoprazole ,DRUG
cephalexin,DRUG
lotemax,DRUG
d12w,DRUG
amoxicillin-clavulanate desensitization,DRUG
lamictal xr,DRUG
mesalamine desensitization dose # 7,DRUG
olanzapine (disintergrating tablet),DRUG
oxycodone sr (oxycontin),DRUG
nystatin ointment,DRUG
albuterol sulfate-ipratropium,DRUG
sulfamethoxazole-trimethoprim,DRUG
*nf* thalidomide,DRUG
calcium citrate + vit d,DRUG
ciprofloxacin 0.3% ophth soln,DRUG
ns (syringe),DRUG
lansoprazole oral disintegrating tab,DRUG
acyclovir 400 mg or placebo,DRUG
levobunolol hcl 0.25%,DRUG
heparin lock flush,DRUG
aspirin 81 mg  or placebo,DRUG
glatiramer,DRUG
hydrocortisone sod succinate,DRUG
basis soap,DRUG
desmopressi,DRUG
*nf* estraderm,DRUG
didanosine ec,DRUG
influenza virus vaccine *latex free*,DRUG
ethacrynic acid,DRUG
naphazoline 0.1% ophth,DRUG
*nf* timentin,DRUG
*nf* pentostatin,DRUG
hemabate,DRUG
potassium,DRUG
glucovance (1.25mg-250mg),DRUG
*nf* levothyroxine ( levoxyl),DRUG
methenamine hippurate,DRUG
brinzolamide,DRUG
tacrolimus,DRUG
naloxo,DRUG
mesalamine (rectal),DRUG
epinephrine inhalation,DRUG
maribavir 100 mg or placebo tab,DRUG
anamorelin hcl vs placebo,DRUG
neo*iv*indomethacin sodium,DRUG
heparin (crrt machine priming),DRUG
charc,DRUG
*nf* norethin ace-eth estrad-fe,DRUG
thermacare neck/shoulder/arm,DRUG
nevirapine suspension,DRUG
combigan,DRUG
zestoretic,DRUG
mupirocin 2% cream,DRUG
*nf* urea 10% lotion,DRUG
pilocarpine,DRUG
isradipine,DRUG
enalapril maleate,DRUG
choline,DRUG
symbicort 160-4.5mcg,DRUG
propafenone hcl,DRUG
cyclophosphamide solution,DRUG
docetaxel (taxotere),DRUG
*nf* doxepin 5% cream,DRUG
phenylephrine  0.05% nasal spray,DRUG
ultram,DRUG
triamcinolone acetonide(inhal),DRUG
morphine sulfate (1-5mg),DRUG
roflumilast,DRUG
magnesium oxide-mg aa chelate,DRUG
nystatin/triamcin,DRUG
proplex,DRUG
os-cal 500 + d,DRUG
*nf* bupropion xl,DRUG
epsom salt,DRUG
amoxicill,DRUG
citracal + d,DRUG
proventil hfa,DRUG
tacro,DRUG
*nf* aripiprazole oral soln,DRUG
methylnaltrexone,DRUG
*nf* homatropine 5%,DRUG
carmol 40,DRUG
keppra,DRUG
amoxicillin,DRUG
pyrazinamide,DRUG
insulin novolog,DRUG
dofetilide,DRUG
mesalamine desensitization dose # 13,DRUG
mesalamine desensitization dose # 5,DRUG
fosphenytoin,DRUG
critic-aid clear af,DRUG
faslodex,DRUG
dext,DRUG
malarone,DRUG
bactrim,DRUG
methad,DRUG
advair diskus,DRUG
bupropion sr,DRUG
fty720 2.5mg or placebo caps,DRUG
oxycodone (sustained release),DRUG
fluocinolone acetonide 0.025% cream,DRUG
savella,DRUG
pseudoephedrine hcl,DRUG
droperidol,DRUG
emtricitabine-tenofovir (truvada),DRUG
sulfameth/trimet,DRUG
rivastigmine,DRUG
d10w,DRUG
insulin lispro desensitization protocol,DRUG
*nf* riluzole,DRUG
isosorbide mononitra,DRUG
acetaminop,DRUG
*nf* rasagiline,DRUG
erythromycin topical solution,DRUG
tarceva(erlotinib),DRUG
indomethacin sodium,DRUG
phenylephrine 1% nasal spray,DRUG
guaifenesin ac,DRUG
valganciclovir ,DRUG
urelle,DRUG
pilocarpine hcl,DRUG
*nf* novolog mix 70-30 insulin,DRUG
hydrocortisone,DRUG
celebrex,DRUG
asparaginase (erwinia chrysan),DRUG
oxycodone-acetaminophen elixir,DRUG
nystatin (topical),DRUG
*nf* colesevelam hcl,DRUG
olanza,DRUG
*nf* dasatinib,DRUG
lorazepam,DRUG
regular insulin,DRUG
ambisome,DRUG
heparin (porcine),DRUG
chlorpheniramine maleate,DRUG
beclomethasone dipro. (oral),DRUG
multaq,DRUG
cyanide antidote package,DRUG
collagenase ointment,DRUG
betamethasone dipro 0.05% oint,DRUG
*nf* mafenide acetate,DRUG
dextroamphetamine,DRUG
becaplermin gel 0.01%,DRUG
golytely,DRUG
mivacurium chloride,DRUG
artificial saliva,DRUG
donepezil 5 mg or placebo,DRUG
zofran odt,DRUG
levalbuterol (xopenex),DRUG
soln,DRUG
lanolin (hydrous),DRUG
bisacody,DRUG
mycophenolate mofetil 250mg or placebo caps,DRUG
colchicine suspension,DRUG
haloperidol decanoate,DRUG
yodoxin,DRUG
gentamicin fortified ophth soln,DRUG
ketamine study drug (*ind*),DRUG
lumigan 0.01%,DRUG
pulmicort,DRUG
methylene ,DRUG
multi,DRUG
oxymorphone,DRUG
ampicillin sodium,DRUG
omeprazole,DRUG
sodium chloride (hypertonic),DRUG
loestrin 1.5/30 (21),DRUG
darvocet-n 100,DRUG
pancreaze,DRUG
thera tears,DRUG
carbidopa-levodopa,DRUG
*nf* fluticasone-salmeterol (100/50mcg),DRUG
pregabalin oral solution,DRUG
aleve,DRUG
preservision areds,DRUG
fluphenazine hydrochloride,DRUG
azilect(rasagilne),DRUG
sucralfate,DRUG
hydrochlorothiazide,DRUG
gemcitabine hcl,DRUG
ethyl chloride,DRUG
terconazole 0.4% vag. cream,DRUG
pentamidine inhalation,DRUG
tigecycline,DRUG
aprotinin,DRUG
florinef,DRUG
pregabalin,DRUG
*nf* posaconazole suspension,DRUG
albuterol inhaler,DRUG
amnesteem,DRUG
isos,DRUG
methadone pca,DRUG
methotrexate sodium,DRUG
<ind> desmoteplase study drug,DRUG
metronidazole suspension,DRUG
arimidex,DRUG
hydroxyzine hcl,DRUG
revia,DRUG
methylphenidate hcl,DRUG
ipratropium bromide hfa,DRUG
d12.5w,DRUG
morphin,DRUG
sotalol af,DRUG
ureacin-20,DRUG
indomethacin suspension,DRUG
beclomethasone ,DRUG
simvastatin or placebo,DRUG
clonidine,DRUG
fentanyl pca,DRUG
carbamide peroxide,DRUG
mirapex er(pramipexole),DRUG
code epa/dha 26 study med,DRUG
morphine sulfate pf,DRUG
*nf* felbamate,DRUG
inteferon beta 1a (rebif),DRUG
calcium citrate,DRUG
carteolol 1% ophth soln,DRUG
lidocaine jel,DRUG
vancomycin antibiotic lock,DRUG
digo,DRUG
zonisamide,DRUG
vesicare,DRUG
iloprost,DRUG
calcium,DRUG
povidone iodine 1/2 strength,DRUG
carbidopa-levodopa cr (25-100),DRUG
potassium chl 20 meq / 1000 ml d5w,DRUG
hydroxypropyl meth. 2.5% ophth,DRUG
dexamethasone intensol,DRUG
scopolamine hydrobromide,DRUG
cytarabine,DRUG
*nf* sodium chloride 5% (hypertonic),DRUG
crinone,DRUG
divalpro,DRUG
comtan,DRUG
razadyne er,DRUG
ampicillin-sulbactam,DRUG
aspirin-caffeine-butalbital,DRUG
dimenhydrinate,DRUG
estrogen/medroxyprogestrone,DRUG
combivent,DRUG
fluocin,DRUG
lovastatin,DRUG
metoclopramide,DRUG
acetic acid 0.125% irrig. soln,DRUG
tizanidine,DRUG
vitamin e,DRUG
*nf* albendazole,DRUG
xyzal,DRUG
lithium carbonate sr,DRUG
emtricitabine oral solution,DRUG
ns syringe (intrapleural),DRUG
*nffloxin,DRUG
d5 1/4ns,DRUG
*nf* rivastigmine tartrate,DRUG
iso-osmotic sodium chloride,DRUG
dexamethasone ophthalmic soln 0.1%,DRUG
tegaserod hydrogen maleate,DRUG
glucovance (2.5mg-500mg),DRUG
ziprasidone hcl,DRUG
sevelamer,DRUG
isosorbide dinitrate er,DRUG
ganciclovir 500 mgor placebo  cap,DRUG
candida skin test,DRUG
oxacillin desensitization,DRUG
megestr,DRUG
senna/docusate sodium,DRUG
tetanus,DRUG
alternagel,DRUG
famotidine,DRUG
*nf* darunavir,DRUG
*nf* nystatin powder,DRUG
*nf* anagrelide,DRUG
nicoti,DRUG
heparin flus,DRUG
 cabergoline     ( dostinex),DRUG
miconazol,DRUG
argatroban,DRUG
lac-hydrin,DRUG
isosorbide dinitrate sa,DRUG
tacrolimus (prograf brand) suspension,DRUG
*nf* miralax,DRUG
venlafa,DRUG
butalbital-acet-caffeine,DRUG
xeloda,DRUG
levothyroxine sodium,DRUG
dextran 40 10% in d5w,DRUG
albumin,DRUG
progesterone,DRUG
artificial,DRUG
dimen,DRUG
hydrocortiso,DRUG
avonex administration pack,DRUG
cryselle (28),DRUG
*nf* mycophenolate sodium,DRUG
quinapril,DRUG
lidocaine 1% (w/presv.),DRUG
didanosine chewable tab,DRUG
hydrocortisone oint 1%,DRUG
5 syringes (ns),DRUG
efavirenz,DRUG
carbachol,DRUG
zanamivir,DRUG
isosorbide mono,DRUG
mycophenolate mofetil 250mg or placebo caps ,DRUG
tetrabenazine (xenazine) 25mg tab,DRUG
sodium citrate,DRUG
bactrim ss,DRUG
acamprosate,DRUG
chloroprocaine 3% mpf,DRUG
hydrocortisone oint 0.5%,DRUG
neo*iv*oxacillin,DRUG
aminocaproic,DRUG
azulfidine,DRUG
*nf* gelclair,DRUG
pyrid,DRUG
oseltamivir,DRUG
normocarb,DRUG
irinotecan hcl,DRUG
hydrocortisone acetate suppository,DRUG
minocycline hcl,DRUG
testosterone cypionate,DRUG
*nf* salmeterol-fluticasone (250/50mcg) ,DRUG
docusate so,DRUG
insulin human lente,DRUG
trace minerals cr-cu-mn-se-zn,DRUG
sutent,DRUG
azacitidine (subcut),DRUG
flutamide,DRUG
*nf* sildenafil citrate,DRUG
proventil,DRUG
aspirin 81 mg or placebo,DRUG
lamivudine oral soln.,DRUG
levalbuterol neb,DRUG
adenosine,DRUG
mephobarbital,DRUG
avodart (dutasteride),DRUG
tamiflu,DRUG
syringe (neonatal) *d5w*,DRUG
muromonab-cd3,DRUG
*nf* glimepiride,DRUG
menthol,DRUG
oxandrolone (oxandrin),DRUG
hydrochloric acid,DRUG
isosorbide mononitr,DRUG
vitamin b complex w/c,DRUG
*nf* amoxapine,DRUG
novolog flexpen,DRUG
nimodipine,DRUG
hydromorphone hcl,DRUG
*nf* dextromethorphan polistirex,DRUG
mesalamine desensitization dose # 8,DRUG
"lidocaine 1%/epinephrine 1:100,000",DRUG
tramadol (ultram),DRUG
lidocaine 5% patch,DRUG
cortroysin,DRUG
*nf* galantamine,DRUG
miacalcin,DRUG
metronidazole (flagyl),DRUG
tretinoin (chemotherapy),DRUG
clomi,DRUG
ephedrine sulfate (pressors),DRUG
codeine sulfate,DRUG
starter pn d5,DRUG
advicor,DRUG
femara,DRUG
nystatin oral suspension,DRUG
clobetasol propionate,DRUG
erythromycin ethylsuccinate,DRUG
*nf* amlodipine-benazepril,DRUG
cytarabine liposome,DRUG
diltiaz,DRUG
zirgan(ganciclovir),DRUG
lacri-lube oint. preserv. free,DRUG
*nf* levothyroxine sodium brand name,DRUG
aveeno colloidal,DRUG
dexrazoxane,DRUG
maxalt-mlt,DRUG
timolol,DRUG
bupro,DRUG
crestor,DRUG
varicella virus,DRUG
salivart,DRUG
kaolin/pectin,DRUG
cepacol,DRUG
treprostinil sodium,DRUG
methylene blue 1%,DRUG
cevimeline,DRUG
zafirlukast,DRUG
bendamustine,DRUG
critic-aid clear,DRUG
astepro,DRUG
triple paste,DRUG
oxymorphone hcl,DRUG
acetaminophen,DRUG
cetuximab,DRUG
famc,DRUG
